Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
Hillingdon - Brunel,00ASGJ,E05000326,14750,15.9,73.3,10.8,33.6,27,3.3,4424.2,38.2,55.2,77.7,82.9,169.1,4,57.5,273750,160,34630,17.1,32,21.8,29.2,55.3,22,20.9,17.6,96.8,33.6,0.5,40.5,1.1,2.4,1.8
Hillingdon - Cavendish,00ASGK,E05000327,12100,19.8,63.8,16.4,39.4,40,2,6000,19.7,65.2,81.2,85.5,94.1,0,77.6,400000,149,43970,10.2,54,22.7,13.1,82.2,7.3,9.4,17.2,33.8,8.5,0.3,17.7,1.4,2.1,1.2
Hillingdon - Charville,00ASGL,E05000328,13200,22.7,64.9,12.4,35.7,34,3,4350,43.9,62.1,80.3,82.5,107.6,5,71,275000,130,35410,4.7,59.5,17.8,18,71.1,9.7,15.9,21.6,52.6,22.3,0.2,44.9,1.3,2.4,1.4
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,12600,17.2,61.7,21.2,42.4,44,4.1,3048.8,20.2,65,83.9,88.5,88.6,3,76.8,500000,201,47380,36.6,38.7,8.4,16.3,83.8,7.2,8.2,13.6,41.9,9.6,0,33.4,1.5,1.7,1.2
Hillingdon - Harefield,00ASGN,E05000330,7750,19.7,63.2,17.1,39.8,40,15.2,500,12.5,56,77.9,82.3,137.2,4,75.7,310000,113,37990,15.4,37.9,23.8,22.7,64.2,24,10.2,23.8,64.3,19.5,2.4,85.5,1.4,1.4,1.4
Hillingdon - Heathrow Villages,00ASGP,E05000331,13250,23.2,67.1,9.7,34.5,33,23.5,546.8,50,96.2,78.9,83.2,716.7,14,71.7,209000,97,33170,7,34.1,21.3,37.4,49.6,14.8,33.6,19.2,272.2,58.3,1.3,29.5,1.1,2.6,1.4
Hillingdon - Hillingdon East,00ASGQ,E05000332,13700,22.5,65.7,11.8,35.4,34,3.6,3722.2,34.4,59,78.6,83.2,102.4,7,72.4,311000,182,37250,5.9,34.2,45.1,14.7,68.7,14.8,14.6,19.3,55.8,17.7,0.5,48.2,1.3,1.7,1.5
Hillingdon - Ickenham,00ASGR,E05000333,10750,17.6,61.5,20.9,42.4,44,6.2,1725.8,21.8,41.7,83.2,86.8,92.1,4,76.6,521000,143,48770,45.3,40.3,5,9.4,86,4.4,8.8,14.6,33.2,7.1,0.2,55.7,1.6,2.1,1.6
Hillingdon - Manor,00ASGS,E05000334,11900,20.1,63.9,16,39.2,39,2,5875,16,65.8,82.6,84.1,99.2,0,80.5,372500,206,43460,9.8,25.8,45.7,18.6,80.9,4.1,13.3,17,38.8,12.4,0,18.1,1.3,2.9,1.1
Hillingdon - Northwood,00ASGT,E05000335,10850,16.1,62.6,21.3,42.7,43,7.4,1452.7,34.8,51.9,81.8,85.6,161.9,4,73.3,470000,192,46550,29.7,12.1,14.3,43.8,64.1,14.2,19.8,13.3,46.3,10.2,0.3,61,1.3,2.2,0.8
Hillingdon - Northwood Hills,00ASGU,E05000336,12050,18.9,63.2,17.9,40.3,40,3.3,3606.1,33.3,63,81.3,86,116.3,4,74.3,413500,171,43320,26.4,31.1,12.9,29.6,67,15.5,16.1,16.6,53.9,15.5,0.5,33.3,1.3,2,1
Hillingdon - Pinkwell,00ASGW,E05000337,15750,26.2,64.9,8.9,32.7,31,2.7,5703.7,68.2,78.3,79.9,85,106.6,6,66.8,280000,107,31830,6,47.5,27.3,19.1,57.7,20.4,19.9,22,73.6,24.2,0.9,26.9,1.2,2.7,1.1
Hillingdon - South Ruislip,00ASGX,E05000338,12950,20.7,66.3,13,36.4,35,7.4,1723,27,70.3,79,83.9,93.3,5,77.5,305000,207,40060,7.8,38,27.6,26.6,69.4,10.1,19,18.3,64.8,14.7,0.3,62.8,1.2,2.5,2
Hillingdon - Townfield,00ASGY,E05000339,14900,24,66.4,9.7,33.5,31,3.5,4171.4,62.9,89,77.3,81.9,150.9,5,63.2,280000,131,30430,4.9,38.8,23.7,32.6,45.3,30.1,21.5,24.7,131.2,37.5,1,30.9,1,3.1,1.4
Hillingdon - Uxbridge North,00ASGZ,E05000340,13100,18.4,65.5,16.1,39.2,38,4.6,2771.7,30.2,71.3,81.4,83.9,170.2,5,74,349950,287,41470,30.1,28.5,15.1,26.2,67.3,12.7,18.2,16.8,100.6,30.2,0.6,34.4,1.3,2.4,1.5
Hillingdon - Uxbridge South,00ASHA,E05000341,15000,13.6,77.1,9.3,33.2,28,3.1,4758.1,37.9,41.5,78.9,82.9,132,0,56.8,259000,164,34270,7.8,30.3,20.7,40.6,49.5,22.2,25.4,14.1,103.3,34.9,0.7,25.9,1,2.5,2.1
Hillingdon - West Drayton,00ASHB,E05000342,15250,23.5,65.1,11.4,34.8,33,3.5,4257.1,33.5,76.9,77.9,80.2,131.6,1,69,249997,266,32680,9.3,34.1,24.1,31.2,51.3,26.4,18.5,24.3,81.5,30.5,1.4,31.9,1.1,2.4,1.9
Hillingdon - West Ruislip,00ASHC,E05000343,11600,18.6,64.3,17.1,40.2,39,4.4,2545.5,18,59.1,80,83.8,150.4,2,78.2,335000,221,43470,24.5,23,19.7,32.8,68.4,11,18.7,16.3,65.4,13.4,0.4,49.5,1.3,2.2,1.5
Hillingdon - Yeading,00ASHD,E05000344,14250,26.8,65.1,8.1,32.3,31,2.3,6087,64.1,81.2,80.4,82.5,93.1,2,66.1,250000,139,33240,9.2,31.2,29.5,29.9,54.8,21.8,19.4,19.8,76.4,25.3,0.4,33.4,1.1,1.9,1.6
Hillingdon - Yiewsley,00ASHE,E05000345,13750,22.7,67.3,10,33.9,32,4,3362.5,33.8,78.5,78.6,83.9,130.7,5,68.2,225000,159,32340,4.3,34.2,24.7,36.5,47.6,27.3,21.8,23.7,110.1,32.5,1.6,41.3,1,2.5,2.2
Hounslow - Bedfont,00ATFY,E05000346,12950,22.8,65.6,11.6,35.3,33,4.4,2965.9,35.7,85.5,77.2,82,128,1,72.2,229000,168,31870,4.5,41.8,20.4,33.3,48.2,26.9,16.4,24,65,20.3,1.1,52.5,1.1,2.1,3
Hounslow - Brentford,00ATFZ,E05000347,15800,18.5,71.5,10,34.6,32,3.2,4828.1,33.9,54.3,79.7,85.7,131.4,5,68,370000,335,35040,2.5,13.7,23.9,59.6,38,37.7,18.5,17.2,80,20,0.1,42.8,0.8,3.2,5
Hounslow - Chiswick Homefields,00ATGA,E05000348,11650,18.8,68.4,12.8,37.6,37,2.3,5087,18.8,51.7,81.1,84.5,102.8,5,76.1,772500,174,51830,3.4,18.9,25.1,52.3,53.9,16.4,27.9,9.3,83.5,13.5,0.4,42.2,0.9,3.6,6.9
Hounslow - Chiswick Riverside,00ATGB,E05000349,11700,19.7,66.5,13.8,37.9,37,2.1,5642.9,19.1,67.6,82.1,87.7,83.1,4,77.4,650000,205,49680,4.9,18.4,22.2,54.5,55.8,18.5,24.2,9.2,62.2,13.2,0.2,35.2,1,2.8,7
Hounslow - Cranford,00ATGC,E05000350,12750,22.2,67.3,10.5,34.1,31,2.7,4722.2,73.9,97.2,78.6,84.5,124.5,1,65.6,226500,76,30860,6.3,31.6,27.7,34.5,43.8,29.1,24.7,20.2,74.4,28.9,0.2,26.4,1,2.4,1.8
Hounslow - Feltham North,00ATGD,E05000351,11850,20.3,66.1,13.6,36.7,35,3.4,3514.7,38.9,76.2,75.8,78.6,142.2,6,71.6,270000,107,32850,5.5,40,26.4,27.8,59.1,22.3,16,26.1,77.4,25.1,0.6,37,1.1,2.9,2.9
Hounslow - Feltham West,00ATGE,E05000352,15800,25,67.6,7.4,31.7,31,3.2,4968.8,35.5,76.9,80.6,84.1,113.8,2,71.8,225000,235,34010,3.1,25.8,30.9,40.1,45.7,27.2,20.7,20.5,69.8,25.1,1.1,41.4,1,2.4,2.9
Hounslow - Hanworth,00ATGF,E05000353,12400,23.6,64.5,11.9,34.8,33,3.3,3787.9,32.4,68.6,79,85.5,113.3,4,66.9,250000,123,31150,3.8,29,29.4,37.8,47.5,38.6,11.3,26.4,72.9,28.5,0.5,45.6,1,2.6,3.5
