Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
Kensington and Chelsea - Courtfield,00AWGC,E05000386,9100,12.8,76.5,10.7,35.6,33,0.5,17700,24.8,47.1,91.9,87.7,76.3,3,64.8,1325000,161,61810,0.8,2.1,9.1,88,39,9.1,48,3.8,109,18.9,0.1,13.4,0.5,6.9,3.7
Kensington and Chelsea - Cremorne,00AWGD,E05000387,8250,15,67.3,17.7,40.4,39,0.6,13250,32.5,43.9,81.9,86.9,145.3,5,63,1050000,101,43920,1,3,10.7,84.2,32.6,43.4,20.9,15.4,89.5,26.3,n/a,29.3,0.5,4.7,4.4
Kensington and Chelsea - Earl's Court,00AWGE,E05000388,9300,12.1,78.1,9.8,36.8,34,0.5,18100,35.4,44.4,78.4,85.7,145.8,3,68.5,783250,172,44100,0.9,0.7,4.6,93.8,30.6,22.7,43.8,8.4,110.4,29.8,0.2,10,0.4,7,3.8
Kensington and Chelsea - Golborne,00AWGF,E05000389,9600,17.4,71.5,11.1,36.5,35,0.9,10111.1,52.1,48.7,77.4,83.1,190.4,3,59.3,533800,62,30100,0.8,1.6,5.8,91.4,11.9,67.8,17.4,22.5,130.9,40.8,0.5,34.6,0.4,4.5,5.9
Kensington and Chelsea - Hans Town,00AWGG,E05000390,8850,13.9,69.4,16.6,40.5,39,0.6,14416.7,23.5,38.1,85.4,87.8,96,3,69.1,1587500,176,58100,0.8,1.8,13.9,83.5,34.7,16.4,43.3,9.2,188.3,23,n/a,8.5,0.6,6.6,3.1
Kensington and Chelsea - Holland,00AWGH,E05000391,9850,18.6,67.7,13.6,37.8,37,1,9600,32,56.9,86.6,92.9,74.4,6,66.4,1375000,167,54770,3.5,4.7,13,78.9,45.5,11.9,38.2,7,70.8,17.6,n/a,27.7,0.7,6,4.5
Kensington and Chelsea - Norland,00AWGJ,E05000392,8750,18.3,64.5,17.2,39.7,39,0.7,12214.3,25.6,61.1,83.2,86.3,128.8,3,67.4,1343000,110,53430,1.3,6.6,21.7,70.3,34.9,38.5,23.6,14.2,97.2,23.7,0.1,15.4,0.6,5.4,5.8
Kensington and Chelsea - Notting Barns,00AWGK,E05000393,9750,19.1,67.2,13.7,37,36,0.6,15750,42.7,52.4,77.4,85.5,125.6,6,61.8,776000,55,36690,1,3.6,11.3,83.8,24.2,55.8,16.5,19.4,99.3,30.1,0.3,9.3,0.5,4.2,7.4
Kensington and Chelsea - Pembridge,00AWGL,E05000394,7700,14,73.8,12.3,37.8,35,0.5,15100,22.1,50.3,83.7,84.6,134.2,3,74.8,1127500,124,55710,2,3.9,11.1,82.9,40.6,12.7,43,6.2,177.9,31,0,11.9,0.5,7,4.8
Kensington and Chelsea - Queen's Gate,00AWGM,E05000395,9950,14.8,74.8,10.4,36.3,34,0.6,16166.7,28.7,47.5,86.6,89.8,84.3,1,66.3,1745000,192,63630,1.2,4.1,9.4,85.3,41.5,4,48.6,3.8,88,14.4,0,5.8,0.6,6,4.1
Kensington and Chelsea - Redcliffe,00AWGN,E05000396,9300,15.3,72.6,12.1,37.5,36,0.7,13000,18.8,51.3,84.4,88.5,71.5,7,74.3,995000,214,54550,1.4,3.3,11.3,84,46.2,10.4,40.2,5.2,80.1,15,n/a,28.1,0.6,6.2,5
Kensington and Chelsea - Royal Hospital,00AWGP,E05000397,7350,13.6,64.7,21.7,43.8,43,0.9,7944.4,15.4,43.4,79.6,88,124.3,6,72.8,1995000,137,60600,1.1,2.6,19.3,77,45.3,13.6,35.8,9,117.9,16.7,n/a,43.1,0.8,5,4.4
Kensington and Chelsea - St. Charles,00AWGQ,E05000398,9600,18.6,69.8,11.6,37.1,36,0.7,13285.7,37.6,49.6,74.8,81.9,210.2,3,63.4,642500,92,36100,1.8,3.7,10.8,83.8,20.9,58.7,15.9,21.5,114.8,42.4,0.3,21.9,0.5,3.8,6.8
Kensington and Chelsea - Stanley,00AWGR,E05000399,8250,15.5,68.5,16,39.6,37,0.7,11571.4,19,42.5,83.3,84,175,8,73,1100000,165,54990,2,6.8,18.8,72.5,45.5,13.1,38.3,7.3,118.7,28.2,n/a,9.1,0.7,5.6,4
Kingston upon Thames - Alexandra,00AXFX,E05000400,9700,19.7,63.7,16.6,38.9,39,2.7,3537,29.8,61.6,83.4,86.9,92.4,3,75.1,404975,136,41390,9.3,56.3,21.5,12,80.2,4.9,13.3,15.8,34.7,7.9,0.3,43.7,1.4,2.2,3.9
Kingston upon Thames - Berrylands,00AXFY,E05000401,9800,18.2,66.4,15.4,38.3,36,1.5,6466.7,18.1,56.8,79,83.3,102.8,1,74.8,361125,172,42330,10.5,25.7,9,54.7,54.6,17.4,26.9,11.9,31.6,8.2,0.3,10.9,1,2.8,4.6
Kingston upon Thames - Beverley,00AXFZ,E05000402,10450,20.8,66,13.1,37.3,37,1.9,5447.4,32.6,75,80.8,81.8,117.9,0,71.6,435000,167,40700,9.6,33.7,26.3,30.4,63.7,11.5,22.1,15.2,64.5,15.4,0.7,26.4,1,2.8,4.4
Kingston upon Thames - Canbury,00AXGA,E05000403,13300,23.4,68.1,8.5,33.6,33,1.2,10791.7,21.4,70,81,85.8,75.1,1,74.9,449500,397,45600,14.1,24.5,14.1,47.3,55.1,12.5,30.3,9,38.4,9.4,0.2,7,0.9,4.1,6.1
Kingston upon Thames - Chessington North and Hook,00AXGB,E05000404,9000,20.1,64.6,15.3,38.3,38,1.9,4710.5,15,55,80.4,86.8,105.4,2,76.4,310000,137,37230,6.6,46.6,29.5,17.2,74.8,14.8,8.6,21.9,43.9,13.9,1.2,27.5,1.3,2.4,2.5
Kingston upon Thames - Chessington South,00AXGC,E05000405,10550,20.9,64.6,14.4,37.6,37,7.6,1375,13,64.1,83.3,83.9,109.7,0,78.5,315000,201,38310,11.2,26.4,41.3,20.9,77.3,11.7,9.7,19.1,47.5,16.3,0.6,75.7,1.4,2.4,2.3
Kingston upon Thames - Coombe Hill,00AXGD,E05000406,10750,18.3,66.8,14.9,37.1,34,4.4,2420.5,35.5,44.7,83.2,84.8,171.9,4,64.5,480000,161,45650,29.5,16.8,11.6,42.1,61,11.6,25.5,10.7,47.8,12.6,0.3,42.1,1.3,2.5,3.2
Kingston upon Thames - Coombe Vale,00AXGE,E05000407,10050,20.6,65.2,14.2,37.9,38,1.6,6250,33.4,60.5,82.9,86.1,77.3,0,72.4,480000,133,44320,16.6,43,19.7,20.6,72.3,6.9,19.4,11.7,26.2,6.5,0.1,11,1.2,2.3,4.3
Kingston upon Thames - Grove,00AXGF,E05000408,11800,16.8,74.4,8.8,33.4,30,1.9,6105.3,23.2,47.8,79.2,87.2,240.7,6,66.8,400000,236,41410,6.3,17.9,7.6,68,47.5,13.2,37.5,8.5,268.5,65.8,0.2,23.6,0.8,4.2,4.7
Kingston upon Thames - Norbiton,00AXGG,E05000409,10600,20.1,70.6,9.2,34,32,1.3,8076.9,31,65,77.1,80.5,105.2,6,68.2,341750,166,34650,6.8,29.7,14.6,48.9,42.3,31.2,24.3,17.7,62.4,22.7,0.2,34.5,0.8,3.6,5.4
Kingston upon Thames - Old Malden,00AXGH,E05000410,9700,19,63,18.1,39.9,40,1.8,5361.1,30.8,58.4,83.6,87.4,82.2,1,74,395725,134,41760,18.7,45.9,16.9,18.5,77.4,9.1,12.3,15.7,29.6,8,0.1,21.3,1.4,2.7,2.3
Kingston upon Thames - St. James,00AXGJ,E05000411,9250,18.2,63.7,18.1,40.6,41,2.2,4181.8,41.4,53.5,81.4,82.2,116.8,5,71.9,443567.5,112,41850,23.4,40.4,20,16.3,75.3,9.3,14,15.9,33.8,9.9,0.7,28.2,1.3,2.6,3
Kingston upon Thames - St. Mark's,00AXGK,E05000412,10900,12.2,79.4,8.3,33.6,30,1.4,7785.7,21.3,46.9,81.7,84.3,90.3,3,69.4,395350,286,44930,4.2,16.5,9.1,70,53.1,6.7,38.6,6.7,49.7,13.5,0.4,23.9,0.9,3.7,4.2
Kingston upon Thames - Surbiton Hill,00AXGL,E05000413,10950,17.4,69.2,13.5,37.7,35,1.7,6352.9,19,60,79.7,82.6,112.4,2,78.2,396770,237,43160,16.2,18.8,7.3,57.7,60.5,7.5,30.7,10.7,29.6,10.1,0.3,5.8,1,3.3,3.7
Kingston upon Thames - Tolworth and Hook Rise,00AXGM,E05000414,10650,20.1,66.1,13.8,37.3,36,2.6,3961.5,27.2,59.1,80.3,86.7,115.2,3,76.2,337195,153,37840,6.4,46.8,24.5,22,71.2,10.7,16.5,18.4,53.7,14.2,0.7,33.1,1.2,2.3,2.9
Kingston upon Thames - Tudor,00AXGN,E05000415,9850,22,63.1,14.9,38.5,40,1.6,6125,17.6,52.4,84.1,87.2,65.3,2,76.9,550000,151,48530,17.1,33.9,24,25,76.5,7.5,14.2,10.1,33.1,6.6,0.1,22.7,1.2,2.3,7
Lambeth - Bishop's,00AYFZ,E05000416,11400,10.9,80.9,8.2,34.9,31,1.5,7066.7,42,33.2,79.1,83.2,370.9,12,66.2,590000,97,40360,0.5,1.6,8.6,89.2,21,41.8,33.9,14.5,243.6,48.3,0.7,31.6,0.4,7.6,6.4
Lambeth - Brixton Hill,00AYGA,E05000417,16650,16,77.3,6.7,33.6,31,1.1,14863.6,41.5,48.4,76.2,81.4,123.7,1,75.3,420000,271,39050,1.6,4.5,19.5,74.4,32.8,32.2,31.9,13.8,91.5,28,0.2,13.1,0.5,4.9,10.1
Lambeth - Clapham Common,00AYGB,E05000418,13600,15.8,77.1,7.1,33.4,31,1.3,10192.3,24.3,48,78.5,83,112.1,1,80.3,620000,243,49520,1.6,8.7,21.2,68.4,42.6,23.7,32.4,8.3,85.6,20.4,0.5,27.9,0.7,4.1,8.8
Lambeth - Clapham Town,00AYGC,E05000419,14850,14.3,78.9,6.7,33.8,31,1.1,13045.5,29.3,32.4,74.5,80.7,143.2,7,80,610000,243,44960,1.6,4.8,18.8,74.8,33.7,29.7,33.8,10.9,142.5,34.3,0.4,13.1,0.5,5.1,8.6
Lambeth - Coldharbour,00AYGD,E05000420,17500,20.2,73.7,6.1,32.4,30,1.2,14333.3,62.1,54.5,76.7,86.5,200.5,7,64.9,435000,119,32220,2.4,5.2,12.8,79.6,16.1,59.1,21.5,17.6,180.9,56.4,0.4,14.4,0.4,5.4,8
Lambeth - Ferndale,00AYGE,E05000421,16400,12.5,81.6,5.9,33.4,30,0.9,17555.6,40.4,36,77.1,84.5,141.4,2,77,497475,240,39480,1.6,3.3,15.8,79.3,26.5,37.4,34.2,13.3,145.6,38.4,0.5,10.3,0.4,6.3,8.2
Lambeth - Gipsy Hill,00AYGF,E05000422,13900,22.7,68.9,8.4,33.9,33,1.6,8625,44.9,80.3,78.3,82.1,116.7,3,69.7,350000,283,36650,2.7,15,20.4,61.9,37.2,36.6,24.1,18.4,79.6,27.8,1.1,25.7,0.6,3.7,6.2
Lambeth - Herne Hill,00AYGG,E05000423,15600,19,73.4,7.6,34.3,33,2,7700,39.6,60.5,77.9,85,125.1,6,75.3,432500,204,41700,2.8,9.3,20.6,67.2,37.2,31.8,29,12.2,92.4,26.7,0.1,37.9,0.5,4.5,12.5
Lambeth - Knight's Hill,00AYGH,E05000424,15200,22.6,68.2,9.2,34.2,33,1.5,9966.7,47.7,70.5,76.5,80.6,121.2,3,68.8,355000,227,36950,3.5,20.2,19,57.2,42.9,30.6,24.8,15.9,74.6,24.1,0.3,13.3,0.6,4.1,4.9
Lambeth - Larkhall,00AYGJ,E05000425,18000,16,77.6,6.4,32.9,30,1.1,16181.8,43.3,36.1,75.5,80.5,124.4,6,73.5,430000,249,37260,1.7,3.5,11.1,83.7,25,41.4,30.3,13.9,92.8,27.5,1.1,20,0.4,5.2,8.1
Lambeth - Oval,00AYGK,E05000426,16600,13.7,79.3,7,34.3,31,1.3,12269.2,36.9,37.3,79,81.8,156.5,8,74.3,699995,276,39200,0.8,1.8,10.1,87.3,26.2,34.8,34.7,13,127.4,35.3,0.4,24.9,0.4,6.9,9.2
Lambeth - Prince's,00AYGL,E05000427,15400,16.5,74.3,9.2,35.5,33,1.2,12458.3,43.4,47.3,77.9,84.4,169.2,6,71.1,495000,213,37600,0.7,1.7,12.1,85.5,27.2,47.1,20.4,16.3,119.3,30.8,0.1,20.7,0.4,6.3,9
Lambeth - St. Leonard's,00AYGM,E05000428,15200,18.3,74,7.7,34.1,32,1.4,10642.9,38.9,67.4,79.7,85.7,117.6,7,75.6,340000,415,39880,5.7,10.9,13.3,70,39.7,14,44.7,12.6,104,30.5,0.3,12.1,0.6,5.9,6
Lambeth - Stockwell,00AYGN,E05000429,15250,18.4,74.5,7.1,33.8,32,0.9,16777.8,44.3,46.8,78.8,81.9,118.6,3,71.2,391375,124,35050,1.6,3.3,8.5,86.5,24.8,45,27.3,16.2,83.7,29.5,0.3,13.2,0.4,5.4,8.7
Lambeth - Streatham Hill,00AYGP,E05000430,15150,18,73.9,8.2,34.5,33,1.3,11307.7,37.9,65.4,77.1,81.1,103.5,7,74.6,359000,278,39250,2.7,15.3,11,71,41.1,24.9,32.1,13.5,76.9,23.6,0.2,14.1,0.6,5.3,7.6
Lambeth - Streatham South,00AYGQ,E05000431,14750,20,68.8,11.2,35.6,33,1.7,8558.8,52.5,70,81.2,84.4,105,2,70.4,375000,181,36710,5.7,19.8,40.2,34.4,53,15.5,28.8,17,74.9,20.1,0.3,26,0.8,4.1,4.1
Lambeth - Streatham Wells,00AYGR,E05000432,15250,19.8,71.9,8.3,34,32,1.5,10066.7,43.1,60.5,78.2,80.6,105.3,3,74.2,345875,298,38270,4,14.5,11.6,69.9,41.5,20.8,35,13.9,72.7,22.6,0.2,18.3,0.6,4.4,5.5
Lambeth - Thornton,00AYGS,E05000433,14000,19.9,72.5,7.6,33.1,31,1.1,12045.5,40.5,65.5,81.3,87.5,93.8,1,74.3,511250,166,41880,2.9,5.9,19.1,72,38.2,39.1,21.2,14.2,55.2,14.9,0.4,22.4,0.6,3.5,7.9
Lambeth - Thurlow Park,00AYGT,E05000434,13800,22.7,67.7,9.6,34.7,34,1.5,9133.3,36.3,65.1,80.5,83.8,108.3,4,74,412747.5,220,41600,3.2,13.6,22.9,60.2,41.9,27.1,29.3,12.7,73.2,22.4,0.5,19.7,0.7,5,8.3
Lambeth - Tulse Hill,00AYGU,E05000435,16250,20.3,73.1,6.7,32.9,31,1,16000,52.6,57.1,78.9,83.4,102.8,4,70.5,417000,167,35610,1.5,6.1,16.9,75.4,29.2,43.2,24.8,14.7,80.3,27,0.6,16.6,0.5,4.4,9.6
Lambeth - Vassall,00AYGW,E05000436,15600,16.5,76.3,7.2,33.9,31,1.1,13590.9,52.7,47.3,78.6,85,135.3,8,67.6,395000,313,34830,2.7,6.1,14,77.2,23.2,53.2,22,16,81,24.6,1.9,16.8,0.4,4.4,9.7
Lewisham - Bellingham,00AZGD,E05000437,15300,24.1,65.5,10.4,34.6,34,3.1,4854.8,51.3,76.3,77.1,82.2,143.8,2,64.9,265000,147,31340,2.9,21.3,31.9,43.9,40.1,44,13.9,25.4,94,32.2,0.7,46.7,0.7,3,1.9
Lewisham - Blackheath,00AZGE,E05000438,15000,18.1,71.4,10.5,35.9,34,2.3,6304.3,30.2,66.3,79.3,83.3,125.8,4,74.1,385000,229,44870,4.3,8.6,17.1,69.9,43.2,28.8,27,13.2,83.9,26.8,0.4,34.6,0.7,4.9,3.9
Lewisham - Brockley,00AZGF,E05000439,18550,15.8,78,6.1,33,31,1.7,10558.8,43.1,54.5,77,82.4,100.1,6,71.3,330000,311,38100,2,6.4,19.7,71.9,31.5,30.1,35.7,11.8,78.8,24.2,0.5,13.3,0.5,5.8,5.5
Lewisham - Catford South,00AZGG,E05000440,15650,20.6,68,11.5,36.6,36,1.9,8157.9,56.2,72.9,77.9,84.2,107.9,3,70.2,332500,226,39070,2.8,25.4,41.3,30.4,65.8,12.6,19.9,17.3,44.8,15,0.1,3,0.9,3.3,2.7
Lewisham - Crofton Park,00AZGH,E05000441,15350,20.8,69.7,9.5,35.4,35,1.7,8882.4,39.6,82.9,79.6,86.8,92.7,3,73.9,455000,275,42560,3.2,13.3,40.4,43.1,55,16.8,25.8,15.3,58.4,17.5,0.3,20.7,0.7,4.1,5.8
Lewisham - Downham,00AZGJ,E05000442,15000,23.4,64.2,12.4,35.5,34,2.4,6145.8,41.7,67.4,79.5,84.7,132.8,5,63.6,242500,185,30880,3.7,17.7,55.6,23,44.2,40.9,13.1,30.2,78.9,31.7,0.8,30.1,0.7,3.3,1.7
Lewisham - Evelyn,00AZGK,E05000443,18550,22.9,71.3,5.8,31.3,30,1.8,9777.8,60.9,64.5,77.2,81.4,101.3,4,63.7,315000,261,30560,2,5,13.4,79.7,16.7,57.3,21.4,19.1,69.6,21.6,0.4,22.6,0.4,3.1,4.3
Lewisham - Forest Hill,00AZGL,E05000444,15300,21.5,68.8,9.8,35.4,35,1.8,8388.9,38.2,77.5,78.4,82.7,98.7,0,73.6,340000,303,40960,5.9,14.3,14.4,65.3,47.4,26.4,24.5,13.9,69.9,22.3,0.8,22.2,0.7,4,4.6
Lewisham - Grove Park,00AZGM,E05000445,15100,20.5,67,12.4,36.8,35,2.4,6208.3,37.5,68,78.5,82.4,126.2,2,69.3,250000,256,36150,4.2,25.7,32.8,37.3,53.5,26.7,17.9,22.5,50.6,18,0.6,21.6,0.9,3.2,2.2
Lewisham - Ladywell,00AZGN,E05000446,15200,17.9,73.2,8.9,34.8,33,1.6,9281.3,45.4,54.5,78.9,83.1,87.8,2,70.5,370000,217,40290,2.5,14.6,35,47.9,49.3,23.6,25.2,12.8,55,17.1,0.4,25.7,0.7,4.5,5.8
Lewisham - Lee Green,00AZGP,E05000447,15050,20,68.6,11.4,36.4,36,1.8,8222.2,33.7,74.5,80.7,84.1,101.9,1,75.1,402500,258,42760,3.9,13.7,34.1,48.2,53.7,21.2,23.4,14.6,60.9,20.5,0.1,11.7,0.7,3.6,3.8
Lewisham - Lewisham Central,00AZGQ,E05000448,20250,20,72.6,7.4,33.6,32,2.1,8976.2,51.6,80.2,75.4,80.8,204.5,7,69.6,290000,446,35760,2.2,7.3,20.9,69.6,35.1,27.4,33.7,16.1,134.9,40.8,0.5,13.8,0.5,5.2,3.4
Lewisham - New Cross,00AZGR,E05000449,17650,20,74.4,5.5,31.8,30,1.8,9305.6,59.7,55.6,74.3,77.6,151.8,2,64.6,242000,217,31520,2.3,5.6,18.9,73.1,25.4,40.5,31.6,17.9,108.5,34.7,0.6,16.5,0.5,4.4,4.9
Lewisham - Perry Vale,00AZGS,E05000450,16050,20.8,69.5,9.7,35.5,35,1.7,9323.5,42.5,74.8,80.1,84.3,98.1,7,72.9,355000,325,39130,3.7,11.7,28.3,56.3,48.1,26.5,23,16.2,54.6,17.1,0.3,9.7,0.7,3.4,4.1
Lewisham - Rushey Green,00AZGT,E05000451,16650,22.7,69.1,8.2,34,33,1.8,8777.8,59.1,74.8,79.4,82.8,173,7,66.2,270000,194,34670,3.3,10.8,28.1,57.8,41.4,26.9,30.3,18,118.7,39.3,1.3,24,0.6,5.2,2.9
Lewisham - Sydenham,00AZGU,E05000452,16150,20.7,67.8,11.4,36.2,35,1.7,9352.9,41.8,76.2,75.6,81.4,132.3,1,69.1,350000,220,37060,2.9,10.9,23.5,62.6,42.9,34.7,20.8,18.7,73.2,24.2,0.1,13.1,0.7,4.1,2.8
Lewisham - Telegraph Hill,00AZGW,E05000453,17250,18.8,74.1,7.1,33.4,32,1.5,11233.3,49.4,58.9,79.7,83.2,95.8,5,70.6,360000,185,37230,2.4,8.6,22.8,66.1,31.7,36.6,29.2,14.4,51.1,16.5,0.2,16.5,0.6,5.2,6.5
Lewisham - Whitefoot,00AZGX,E05000454,15050,24.2,65.2,10.6,34.7,33,2.2,6659.1,50.5,69,79.8,85.9,107.7,4,64.8,248000,193,32840,5.4,23.2,40,31.1,49.2,34.5,14.7,25.9,70.4,26,0.6,27.9,0.8,2.8,1.7
Merton - Abbey,00BAFX,E05000455,10600,18.6,72.7,8.7,34.8,33,1.4,7607.1,26.6,69.5,79.3,83.4,106.5,3,80.3,482500,189,45370,2,8.6,38.2,51.1,48.5,14.1,35.7,10.1,71.6,19.3,0.3,12.8,0.7,5.1,3.9
Merton - Cannon Hill,00BAFY,E05000456,9500,17.9,64.4,17.7,40.1,40,2.2,4340.9,25.4,62.8,82.3,88.2,82.6,5,75.9,455000,131,42320,2,31.9,51.6,14.4,79.9,5.5,13.4,17,35.4,7.7,0.4,42.7,1.2,2.6,3.3
Merton - Colliers Wood,00BAFZ,E05000457,11250,16.7,74.7,8.6,34.6,33,1.1,10181.8,40.1,63.6,79.4,84.7,117.6,5,76.7,350000,180,38780,3,15.2,26.3,55.5,48.7,12.6,36.8,13.3,79.1,17.2,0.3,14.6,0.7,3.9,4.4
Merton - Cricket Green,00BAGA,E05000458,11800,24.1,64.7,11.2,34.7,33,3,3933.3,47.5,82.2,77.8,82.4,159.1,8,65.7,245000,105,29930,4.2,14.3,34.3,47.1,41.7,36.9,18.5,24.5,78.5,26.8,1.2,50,0.7,2.9,2.4
Merton - Dundonald,00BAGB,E05000459,9650,18.8,70.7,10.5,35.7,34,1.2,8000,18.1,73.3,84,85.9,69.2,4,83.2,565000,189,49910,2.8,17,45.3,34.8,61.5,3.7,33.6,7.8,60.4,13.3,0.1,15.3,0.8,4.9,3.8
Merton - Figge's Marsh,00BAGC,E05000460,11700,24.5,65.8,9.7,33.8,32,1.1,10545.5,57.4,97.8,78.6,81.1,131,3,66.3,250000,106,30860,3,13.2,34.4,49.4,46.8,27.3,23,21,78.8,29.7,0.2,23,0.8,3.6,2.8
Merton - Graveney,00BAGD,E05000461,10100,19.8,68.5,11.7,35.8,34,0.9,11222.2,57.5,74.5,80.9,85.6,90,0,71.6,388000,128,35580,6.2,11.7,54.2,27.8,61.8,3.9,32.8,15.8,55.6,14.9,0,12.3,0.9,3.4,3.1
Merton - Hillside,00BAGE,E05000462,9250,15,70.8,14.1,38.6,35,1.2,7708.3,21.7,62.1,81.7,88.6,104,2,79.8,563750,168,51480,7.2,12.6,10.6,69.5,50.1,9.9,38.4,6.4,56.7,9.8,0,5.6,0.8,5.4,2.8
Merton - Lavender Fields,00BAGF,E05000463,10650,21.4,70.4,8.2,33.6,32,1.2,8875,46.8,83.6,80.6,83.6,89.9,1,72.6,280000,199,33360,4.2,17.2,37.4,41.2,47.6,20.4,30.1,18.1,57.9,18.5,0.4,18.6,0.8,2.7,3.4
Merton - Longthornton,00BAGG,E05000464,10500,21.6,67.1,11.2,35.7,34,1.5,6966.7,58.2,69.6,79.8,82.7,104.7,1,69.9,295000,171,34350,3.8,17.8,57.2,21.2,69.1,10.6,18.2,19.1,50.9,15.6,0.3,36.6,1,2.8,2.1
Merton - Lower Morden,00BAGH,E05000465,9350,18.9,64.7,16.4,39.1,39,1.8,5194.4,21.9,57.2,80.5,84.5,90.5,2,78.1,320000,142,38730,1.5,21.9,56.7,19.9,84.4,4.1,10.3,20.9,33.1,8.7,0.3,34,1.3,2.2,2.4
Merton - Merton Park,00BAGJ,E05000466,9750,19.9,64.2,15.9,38.6,37,1.8,5444.4,29.2,78,83.8,86.3,106.6,2,75.2,522500,155,46300,6.4,31.7,32.6,29.4,72.2,3.9,22.7,11.5,54.8,12.3,0.4,18.8,1,3.8,4.3
Merton - Pollards Hill,00BAGK,E05000467,10800,23.7,65.5,10.8,34.8,33,2.2,4863.6,56.4,66.1,80.2,83.5,106.1,1,67.8,288000,86,31940,4.3,21.2,52.8,21.7,61.3,24.1,13.1,21.7,60.2,19.6,0.7,52.8,1,2.6,2.5
Merton - Ravensbury,00BAGL,E05000468,10250,21.7,65.3,13,36.4,35,1.8,5694.4,38.9,78.2,76.7,81.7,135.6,1,69,285000,117,32330,7.2,23.3,39.9,29.7,55.6,25.1,18.2,23.7,63.7,23.6,0.4,37.8,0.9,2.9,2.3
Merton - Raynes Park,00BAGM,E05000469,10000,20.5,65.3,14.2,38,37,1.9,5263.2,19.8,73.3,78.9,81.7,95.2,1,77.6,499500,191,49340,10.2,24,16,49.8,61.9,10.7,26.2,9.7,43.9,9.7,0.3,24.4,1,3.8,3.7
Merton - St. Helier,00BAGN,E05000470,10650,22,64.6,13.4,36.6,35,1.8,5944.4,35,74.9,77.5,83.2,111.1,1,69.4,280000,149,32530,3.2,18.8,52.8,25.1,53.3,31,13.7,23.7,51.4,15.2,0.2,41.6,0.9,3.1,2.6
Merton - Trinity,00BAGP,E05000471,10000,20.5,70.7,8.8,34.6,34,1.1,9136.4,22.2,68.9,79.1,84,116.4,2,80.7,497000,197,47380,2,13.5,32.9,51.6,52.9,11.9,33.5,9.2,83.9,18.7,0,15.7,0.8,3.9,4
Merton - Village,00BAGQ,E05000472,8750,18.9,60.8,20.3,41.9,43,6.2,1411.3,17.1,57.3,84.4,86.4,100.7,2,71.3,1530000,133,62200,36,15.2,15.3,33.5,68.7,5.6,23,6.8,52.2,9.9,n/a,62.2,1.4,2.4,4.1
Merton - West Barnes,00BAGR,E05000473,10200,20.9,64.6,14.5,37.6,37,2,5075,30,76.3,82.3,83.6,93.7,5,76.5,475000,139,44170,4,25.8,51.1,19.1,76.3,5.2,16.8,13.9,49.6,8.9,0.2,32.4,1.1,2.9,3.5
Merton - Wimbledon Park,00BAGS,E05000474,11500,23.6,67.4,9.1,34.2,33,2.3,5021.7,20.4,76.8,84,85.4,74.5,3,78.4,732500,180,50730,5.3,14.8,40.6,39,60.7,8.3,27.8,7.8,42.2,6.4,0.1,28.5,1,3.1,4.8
Newham - Beckton,00BBGB,E05000475,16700,22,73.1,4.9,30.5,29,6.3,2539.7,54.2,66.1,78.1,83.5,127.9,1,60.3,233500,165,34100,8.2,19.9,31.7,40.1,28.9,36.5,31,19.2,125.2,27.4,1.1,30.9,0.7,2.8,1.9
Newham - Boleyn,00BBGC,E05000476,16350,24.9,67.1,8.1,31.9,29,0.9,18055.6,78.1,101.4,79.9,85.9,104.7,1,58.2,250000,124,31630,7.9,9.8,47.4,34.8,40.9,25.8,30.9,22.4,69.8,21.3,0.4,6.1,0.6,4,1.3
Newham - Canning Town North,00BBGD,E05000477,16650,21.4,71,7.6,32.6,30,2.5,6300,59.2,71.8,77.2,82.2,134.3,1,59.5,249000,123,28910,5.1,10.6,28,56.2,23.3,49.3,25.1,25.7,93.9,29.8,4.3,21.6,0.5,4.7,1.4
Newham - Canning Town South,00BBGE,E05000478,20350,19.8,74.1,6.1,31.6,30,1.8,10166.7,54.5,54.3,76.4,81.8,104.4,3,64.4,280000,291,32870,3.7,7,20,69.2,19.8,36,39.9,22.6,64.8,15.8,1,26.6,0.5,3.6,2
Newham - Custom House,00BBGF,E05000479,14850,23.5,69.8,6.7,31.7,30,2.1,6738.1,53.5,69.1,75.2,78.4,132.3,2,62.8,250000,102,31840,9.2,16.9,35.7,38.1,30.3,41.4,24.4,25.3,108.1,25.3,1.2,30.6,0.7,3.2,1.7
